91.187.93.166,443,AD,Andorra Telecom
3.28.18.132,8090,AE,Amazon Data Services UAE
3.28.62.7,443,AE,Amazoncom
3.28.199.214,443,AE,Amazoncom
3.28.240.153,2053,AE,Amazon.com Inc
3.28.252.117,8443,AE,Amazon.com Inc
3.29.115.162,8443,AE,Amazoncom
4.161.44.235,8443,AE,Microsoft Corporation
4.161.46.61,8443,AE,Microsoft Corporation
5.44.42.21,2053,AE,GLOBAL CONNECTIVITY SOLUTIONS LLP
5.44.42.21,8443,AE,GLOBAL CONNECTIVITY SOLUTIONS LLP
5.44.42.95,8443,AE,GLOBAL CONNECTIVITY SOLUTIONS LLP
20.74.223.241,443,AE,Microsoft Corporation
20.233.36.158,8443,AE,Microsoft Corporation
20.233.57.238,8443,AE,Microsoft Corporation
20.233.68.69,2053,AE,Microsoft Corporation
20.233.68.69,8443,AE,Microsoft Corporation
31.57.228.105,2095,AE,Zenlayer
31.58.136.31,443,AE,Latitude-sh
37.202.222.182,2053,AE,Zenlayer
37.202.222.182,8443,AE,Zenlayer
38.54.8.102,8443,AE,Kaopu Cloud HK Limited
38.54.9.186,2053,AE,Kaopu Cloud HK
38.54.9.186,8443,AE,Kaopu Cloud HK Limited
38.54.75.67,2053,AE,Kaopu Cloud HK Limited
38.54.75.67,8443,AE,Kaopu Cloud HK Limited
38.180.11.123,2053,AE,3NT SOLUTIONS LLP
38.180.11.201,443,AE,3NT SOLUTIONS LLP
40.172.42.247,8443,AE,Amazoncom
45.83.96.129,3128,AE,Zaintech Cloudhub Fz llc.
45.86.228.104,443,AE,BlueVPS OU
45.89.230.50,31599,AE,LLC Baxet
45.135.165.139,443,AE,Big Data Host
47.91.45.198,84,AE,Alibaba Cloud Au
47.91.45.198,6969,AE,Alibaba Cloud Au
47.91.45.198,8002,AE,Alibaba Cloud Au
47.91.45.198,8024,AE,Alibaba Cloud Au
47.91.45.198,8058,AE,Alibaba Cloud Au
47.91.45.198,8080,AE,Alibaba Cloud Au
47.91.45.198,8443,AE,Alibaba Cloud Au
47.91.45.198,8888,AE,Alibaba Cloud Au
47.91.45.198,9992,AE,Alibaba Cloud Au
47.91.45.198,20000,AE,Alibaba Cloud Au
47.91.45.235,70,AE,Alibaba Cloud Au
47.91.45.235,80,AE,Alibaba Cloud Au
47.91.45.235,6789,AE,Alibaba Cloud Au
47.91.45.235,8009,AE,Alibaba Cloud Au
